ax, h0, ix, f0, ex
ix, b0, ex, a0, cx, g0, fx
ex, a0, gx, c0, bx, h0, ix, d0, fx
gx, d0, ex, c0, ix, a0, bx, h0, fx
ix, a0, cx, f0, gx, h0, ex
ax, c0, gx, d0, ix, e0, hx
ex, g0, cx, a0, dx, f0, hx, b0, ix
gx, f0, ex, c0, ix, h0, ax
cx, a0, gx, e0, ix, h0, fx
ax, g0, ix, e0, cx, f0, bx
ax, d0, ex, i0, gx, c0, bx, f0
ax, e0, fx, i0, cx, b0, hx, g0, dx
ex, d0, cx, g0, ax, b0, ix
ax, g0, cx, e0, bx
cx, g0, bx, e0, ax
ex, b0, fx, d0, cx, g0, ix
ax, e0, gx, i0, cx, b0, dx
bx, f0, gx, e0, dx, a0, ix, h0, cx
ex, c0, bx, h0, ax, i0, fx, g0
cx, f0, ex, g0, ax, b0, ix
